Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[infect]	Sample Characteristic Ontology Term[infect]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[infect]	Factor Value Ontology Term[infect]	Factor Value[time]	Factor Value Ontology Term[time]	Analysed
SRR6039706	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039707	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039708	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039709	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039710	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039711	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039712	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039713	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039714	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		0.5 day		Yes
SRR6039715	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039716	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039717	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039718	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039719	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039720	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039721	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039722	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039723	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		1 day		Yes
SRR6039724	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039725	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039726	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
